educator_id,role,certification,years_experience,hire_year
3000871,admin,provisional,14,2011
3000872,teacher,standard,6,2019
3000873,teacher,standard,5,2020
3000874,teacher,provisional,14,2011
3000875,admin,standard,11,2014
3000876,teacher,standard,5,2020
3000877,teacher,standard,19,2006
3000878,teacher,standard,21,2004
3000879,admin,standard,5,2020
3000880,admin,standard,13,2012
3000881,teacher,standard,8,2017
3000882,teacher,standard,0,2025
3000883,teacher,standard,9,2016
3000884,teacher,standard,11,2014
3000885,counselor,standard,8,2017
3000886,teacher,standard,11,2014
3000887,teacher,standard,6,2019
3000888,teacher,standard,16,2009
3000889,counselor,standard,0,2025
3000890,counselor,standard,3,2022
3000891,admin,standard,11,2014
3000892,teacher,standard,3,2022
3000893,teacher,standard,1,2024
3000894,teacher,standard,9,2016
3000895,teacher,standard,21,2004
3000896,teacher,standard,14,2011
3000897,counselor,standard,14,2011
3000898,teacher,standard,1,2024
3000899,teacher,standard,14,2011
3000900,teacher,provisional,13,2012
3000901,teacher,provisional,7,2018
3000902,admin,standard,11,2014
3000903,teacher,standard,16,2009
3000904,teacher,standard,26,1999
3000905,teacher,standard,8,2017
3000906,teacher,standard,0,2025
3000907,teacher,standard,0,2025
3000908,teacher,standard,0,2025
3000909,teacher,standard,6,2019
3000910,teacher,standard,12,2013
3000911,teacher,standard,6,2019
3000912,teacher,standard,14,2011
3000913,teacher,standard,6,2019
3000914,teacher,provisional,13,2012
3000915,teacher,standard,2,2023
3000916,teacher,standard,2,2023
3000917,teacher,provisional,17,2008
3000918,teacher,provisional,14,2011
3000919,teacher,standard,0,2025
3000920,teacher,standard,12,2013
3000921,teacher,standard,13,2012
3000922,teacher,standard,5,2020
3000923,teacher,standard,5,2020
3000924,teacher,standard,11,2014
3000925,teacher,provisional,11,2014
3000926,teacher,none,3,2022
3000927,teacher,none,6,2019
3000928,counselor,standard,14,2011
3000929,admin,none,23,2002
3000930,teacher,standard,7,2018
3000931,counselor,standard,17,2008
3000932,teacher,standard,9,2016
3000933,admin,standard,12,2013
3000934,teacher,standard,16,2009
3000935,teacher,standard,3,2022
3000936,admin,standard,12,2013
3000937,teacher,standard,0,2025
3000938,counselor,standard,14,2011
3000939,teacher,standard,11,2014
3000940,teacher,standard,2,2023
3000941,teacher,standard,0,2025
3000942,teacher,standard,12,2013
3000943,counselor,standard,3,2022
3000944,teacher,standard,11,2014
3000945,teacher,standard,13,2012
3000946,counselor,standard,10,2015
3000947,teacher,standard,2,2023
3000948,teacher,provisional,13,2012
3000949,teacher,standard,6,2019
3000950,teacher,standard,3,2022
3000951,counselor,standard,5,2020
3000952,teacher,standard,23,2002
3000953,teacher,standard,8,2017
3000954,teacher,standard,5,2020
3000955,counselor,standard,4,2021
3000956,admin,standard,11,2014
3000957,teacher,standard,7,2018
3000958,teacher,standard,12,2013
3000959,teacher,standard,17,2008
3000960,teacher,standard,17,2008
3000961,teacher,standard,3,2022
3000962,teacher,standard,15,2010
3000963,teacher,standard,0,2025
3000964,teacher,standard,11,2014
3000965,teacher,standard,6,2019
3000966,teacher,standard,5,2020
3000967,teacher,standard,11,2014
3000968,teacher,standard,2,2023
3000969,teacher,standard,4,2021
3000970,teacher,standard,0,2025
3000971,teacher,standard,7,2018
3000972,admin,standard,10,2015
3000973,teacher,standard,10,2015
3000974,teacher,provisional,0,2025
3000975,admin,standard,19,2006
3000976,teacher,standard,14,2011
3000977,teacher,none,13,2012
3000978,teacher,provisional,11,2014
3000979,teacher,standard,16,2009
3000980,teacher,standard,8,2017
3000981,admin,standard,7,2018
3000982,teacher,standard,2,2023
3000983,teacher,standard,1,2024
3000984,teacher,standard,10,2015
3000985,teacher,standard,13,2012
3000986,teacher,standard,15,2010
3000987,teacher,standard,5,2020
3000988,teacher,standard,8,2017
3000989,teacher,standard,3,2022
3000990,counselor,standard,10,2015
3000991,teacher,standard,8,2017
3000992,teacher,standard,13,2012
3000993,teacher,standard,14,2011
3000994,teacher,standard,10,2015
3000995,counselor,standard,9,2016
3000996,counselor,provisional,7,2018
3000997,teacher,standard,5,2020
3000998,teacher,standard,6,2019
3000999,teacher,standard,0,2025
3001000,teacher,standard,17,2008
3001001,admin,standard,11,2014
3001002,counselor,standard,8,2017
3001003,teacher,standard,10,2015
3001004,teacher,provisional,3,2022
3001005,teacher,provisional,9,2016
3001006,teacher,none,12,2013
3001007,teacher,standard,15,2010
3001008,teacher,standard,7,2018
3001009,teacher,provisional,4,2021
3001010,teacher,standard,4,2021
3001011,teacher,none,0,2025
3001012,teacher,standard,0,2025
3001013,teacher,provisional,5,2020
3001014,teacher,standard,14,2011
3001015,teacher,standard,7,2018
3001016,teacher,standard,9,2016
3001017,teacher,provisional,3,2022
3001018,teacher,provisional,8,2017
3001019,teacher,standard,12,2013
3001020,teacher,standard,7,2018
3001021,teacher,provisional,3,2022
3001022,teacher,standard,15,2010
3001023,teacher,standard,0,2025
3001024,teacher,standard,13,2012
3001025,counselor,standard,6,2019
3001026,counselor,standard,9,2016
3001027,teacher,standard,12,2013
3001028,teacher,none,4,2021
3001029,counselor,standard,0,2025
3001030,teacher,standard,16,2009
3001031,teacher,standard,0,2025
3001032,teacher,standard,18,2007
3001033,counselor,provisional,0,2025
3001034,teacher,standard,11,2014
3001035,teacher,standard,4,2021
3001036,admin,standard,5,2020
3001037,teacher,standard,0,2025
3001038,teacher,provisional,6,2019
3001039,teacher,standard,14,2011
3001040,counselor,standard,2,2023
3001041,teacher,standard,13,2012
3001042,counselor,standard,6,2019
3001043,teacher,standard,7,2018
3001044,teacher,none,3,2022
3001045,teacher,provisional,9,2016
3001046,teacher,standard,8,2017
3001047,teacher,standard,9,2016
3001048,admin,standard,8,2017
3001049,admin,standard,4,2021
3001050,teacher,standard,7,2018
3001051,teacher,standard,8,2017
3001052,admin,standard,0,2025
3001053,teacher,provisional,11,2014
3001054,teacher,standard,0,2025
3001055,teacher,standard,3,2022
3001056,teacher,standard,8,2017
3001057,teacher,standard,6,2019
3001058,counselor,standard,16,2009
3001059,teacher,standard,12,2013
3001060,teacher,standard,10,2015
3001061,teacher,standard,5,2020
3001062,teacher,standard,10,2015
3001063,admin,standard,2,2023
3001064,teacher,standard,11,2014
3001065,teacher,provisional,0,2025
3001066,counselor,provisional,5,2020
3001067,teacher,standard,10,2015
3001068,teacher,provisional,7,2018
3001069,teacher,standard,10,2015
3001070,teacher,provisional,12,2013
3001071,teacher,provisional,6,2019
3001072,teacher,standard,18,2007
3001073,teacher,standard,8,2017
3001074,teacher,provisional,19,2006
3001075,teacher,standard,0,2025
3001076,admin,provisional,16,2009
3001077,teacher,standard,16,2009
3001078,teacher,standard,10,2015
3001079,teacher,standard,0,2025
3001080,teacher,standard,14,2011
3001081,teacher,standard,12,2013
3001082,teacher,provisional,0,2025
3001083,teacher,standard,12,2013
3001084,teacher,standard,3,2022
3001085,teacher,standard,28,1997
3001086,teacher,standard,7,2018
3001087,teacher,standard,5,2020
3001088,teacher,provisional,6,2019
3001089,teacher,standard,11,2014
3001090,teacher,standard,12,2013
3001091,teacher,standard,9,2016
3001092,teacher,provisional,25,2000
3001093,teacher,provisional,10,2015
3001094,teacher,standard,8,2017
3001095,teacher,standard,13,2012
3001096,teacher,standard,14,2011
3001097,teacher,standard,20,2005
3001098,teacher,standard,7,2018
3001099,teacher,provisional,10,2015
3001100,teacher,standard,11,2014
3001101,teacher,standard,0,2025
3001102,teacher,provisional,6,2019
3001103,teacher,standard,6,2019
3001104,teacher,provisional,17,2008
3001105,teacher,standard,4,2021
3001106,teacher,standard,22,2003
3001107,teacher,standard,7,2018
3001108,teacher,provisional,10,2015
3001109,teacher,standard,6,2019
3001110,teacher,provisional,12,2013
3001111,teacher,standard,14,2011
3001112,teacher,standard,5,2020
3001113,teacher,provisional,7,2018
3001114,teacher,standard,9,2016
3001115,teacher,provisional,5,2020
3001116,admin,standard,10,2015
3001117,teacher,standard,2,2023
3001118,teacher,standard,8,2017
3001119,teacher,standard,4,2021
3001120,teacher,standard,12,2013
3001121,teacher,standard,0,2025
3001122,counselor,none,0,2025
3001123,teacher,standard,10,2015
3001124,teacher,standard,6,2019
3001125,teacher,standard,6,2019
3001126,teacher,provisional,10,2015
3001127,teacher,standard,4,2021
3001128,teacher,standard,10,2015
3001129,teacher,standard,11,2014
3001130,teacher,standard,9,2016
3001131,admin,standard,0,2025
3001132,teacher,standard,5,2020
3001133,teacher,standard,13,2012
3001134,teacher,standard,6,2019
3001135,teacher,standard,13,2012
3001136,teacher,standard,0,2025
3001137,teacher,standard,14,2011
3001138,teacher,standard,6,2019
3001139,teacher,none,9,2016
3001140,teacher,standard,8,2017
3001141,teacher,standard,0,2025
3001142,teacher,standard,14,2011
3001143,teacher,standard,16,2009
3001144,teacher,standard,14,2011
3001145,counselor,standard,2,2023
3001146,teacher,standard,0,2025
3001147,teacher,standard,12,2013
3001148,teacher,standard,3,2022
3001149,admin,none,11,2014
3001150,teacher,standard,14,2011
3001151,teacher,none,4,2021
3001152,counselor,standard,9,2016
3001153,teacher,standard,19,2006
3001154,admin,standard,14,2011
3001155,teacher,standard,2,2023
3001156,teacher,standard,12,2013
3001157,teacher,standard,10,2015
3001158,teacher,standard,9,2016
3001159,teacher,standard,14,2011
3001160,teacher,standard,7,2018
3001161,teacher,standard,11,2014
3001162,teacher,standard,18,2007
3001163,counselor,standard,14,2011
3001164,teacher,standard,13,2012
3001165,teacher,standard,0,2025
3001166,teacher,provisional,7,2018
3001167,teacher,standard,13,2012
3001168,admin,standard,0,2025
3001169,teacher,standard,5,2020
3001170,teacher,standard,8,2017
3001171,teacher,standard,4,2021
3001172,teacher,standard,6,2019
3001173,teacher,standard,0,2025
3001174,teacher,standard,9,2016
3001175,teacher,provisional,18,2007
3001176,teacher,standard,3,2022
3001177,teacher,standard,8,2017
3001178,teacher,none,8,2017
3001179,counselor,none,3,2022
3001180,teacher,standard,17,2008
3001181,teacher,standard,7,2018
3001182,teacher,standard,9,2016
3001183,admin,standard,6,2019
3001184,teacher,standard,0,2025
3001185,teacher,standard,0,2025
3001186,teacher,standard,12,2013
3001187,teacher,standard,16,2009
3001188,teacher,standard,11,2014
3001189,teacher,standard,6,2019
3001190,admin,provisional,15,2010
3001191,teacher,standard,15,2010
3001192,admin,standard,11,2014
3001193,teacher,none,9,2016
3001194,teacher,standard,9,2016
3001195,teacher,standard,13,2012
3001196,teacher,provisional,9,2016
3001197,teacher,standard,6,2019
3001198,teacher,standard,10,2015
3001199,teacher,standard,6,2019
3001200,admin,standard,20,2005
3001201,admin,standard,5,2020
3001202,teacher,standard,11,2014
3001203,counselor,standard,11,2014
3001204,teacher,provisional,6,2019
3001205,teacher,standard,10,2015
3001206,teacher,standard,11,2014
3001207,teacher,standard,7,2018
3001208,teacher,standard,9,2016
3001209,teacher,standard,17,2008
3001210,teacher,standard,9,2016
3001211,teacher,standard,15,2010
3001212,teacher,none,9,2016
3001213,teacher,standard,6,2019
3001214,teacher,standard,8,2017
3001215,teacher,provisional,11,2014
3001216,teacher,none,16,2009
3001217,counselor,standard,21,2004
3001218,teacher,standard,5,2020
3001219,teacher,standard,2,2023
3001220,teacher,standard,12,2013
3001221,teacher,standard,16,2009
3001222,teacher,standard,26,1999
3001223,teacher,standard,10,2015
3001224,counselor,provisional,12,2013
3001225,teacher,standard,7,2018
3001226,teacher,standard,22,2003
3001227,teacher,standard,9,2016
3001228,teacher,standard,0,2025
3001229,teacher,standard,5,2020
3001230,teacher,standard,10,2015
3001231,counselor,standard,19,2006
3001232,teacher,standard,17,2008
3001233,teacher,standard,7,2018
3001234,counselor,standard,0,2025
3001235,teacher,standard,8,2017
3001236,teacher,standard,6,2019
3001237,teacher,standard,13,2012
3001238,teacher,standard,7,2018
3001239,teacher,standard,9,2016
3001240,teacher,none,15,2010
3001241,teacher,provisional,6,2019
3001242,teacher,standard,15,2010
3001243,teacher,standard,0,2025
3001244,admin,standard,13,2012
3001245,teacher,provisional,6,2019
3001246,teacher,standard,0,2025
3001247,teacher,standard,11,2014
3001248,teacher,standard,0,2025
3001249,teacher,standard,15,2010
3001250,teacher,standard,10,2015
3001251,teacher,standard,9,2016
3001252,teacher,standard,10,2015
3001253,teacher,standard,9,2016
3001254,teacher,provisional,14,2011
3001255,teacher,none,15,2010
3001256,teacher,standard,18,2007
3001257,teacher,provisional,13,2012
3001258,teacher,standard,0,2025
3001259,teacher,standard,8,2017
3001260,teacher,standard,6,2019
3001261,teacher,provisional,0,2025
3001262,teacher,standard,10,2015
3001263,teacher,standard,0,2025
3001264,teacher,standard,13,2012
3001265,teacher,standard,6,2019
3001266,teacher,standard,5,2020
3001267,teacher,standard,16,2009
3001268,teacher,standard,7,2018
3001269,teacher,standard,7,2018
3001270,teacher,standard,18,2007
3001271,teacher,provisional,3,2022
3001272,teacher,provisional,17,2008
3001273,teacher,standard,8,2017
3001274,teacher,standard,8,2017
3001275,teacher,standard,15,2010
3001276,teacher,standard,8,2017
3001277,teacher,standard,17,2008
3001278,teacher,provisional,9,2016
3001279,teacher,standard,4,2021
3001280,teacher,standard,8,2017
3001281,teacher,standard,1,2024
3001282,teacher,standard,6,2019
3001283,teacher,standard,9,2016
3001284,admin,standard,17,2008
3001285,teacher,provisional,9,2016
3001286,counselor,standard,0,2025
3001287,teacher,standard,10,2015
3001288,teacher,standard,11,2014
3001289,teacher,standard,17,2008
3001290,teacher,standard,15,2010
3001291,admin,standard,13,2012
3001292,teacher,standard,0,2025
3001293,teacher,standard,16,2009
3001294,teacher,provisional,13,2012
3001295,counselor,none,2,2023
3001296,teacher,standard,10,2015
3001297,teacher,standard,5,2020
3001298,teacher,standard,12,2013
3001299,teacher,standard,8,2017
3001300,teacher,standard,13,2012
3001301,teacher,standard,8,2017
3001302,teacher,standard,4,2021
3001303,teacher,standard,10,2015
3001304,teacher,standard,5,2020
3001305,teacher,none,12,2013
3001306,admin,provisional,10,2015
3001307,teacher,standard,18,2007
3001308,counselor,provisional,10,2015
3001309,teacher,standard,5,2020
3001310,teacher,standard,6,2019
3001311,teacher,provisional,10,2015
3001312,teacher,standard,1,2024
3001313,counselor,provisional,10,2015
3001314,counselor,standard,15,2010
3001315,teacher,provisional,15,2010
3001316,teacher,standard,11,2014
3001317,teacher,standard,3,2022
3001318,teacher,provisional,4,2021
3001319,teacher,provisional,13,2012
3001320,teacher,standard,1,2024
3001321,teacher,standard,3,2022
3001322,counselor,standard,6,2019
3001323,teacher,standard,9,2016
3001324,counselor,standard,9,2016
3001325,teacher,standard,11,2014
3001326,teacher,standard,5,2020
3001327,teacher,standard,0,2025
3001328,teacher,provisional,24,2001
3001329,teacher,standard,16,2009
3001330,counselor,standard,3,2022
3001331,admin,provisional,5,2020
3001332,counselor,standard,8,2017
3001333,teacher,none,6,2019
3001334,admin,standard,8,2017
3001335,teacher,standard,9,2016
3001336,counselor,standard,10,2015
3001337,teacher,standard,14,2011
3001338,teacher,provisional,5,2020
3001339,teacher,provisional,12,2013
3001340,teacher,standard,10,2015
3001341,teacher,standard,0,2025
3001342,teacher,provisional,15,2010
3001343,teacher,none,8,2017
3001344,teacher,standard,0,2025
3001345,teacher,standard,6,2019
3001346,teacher,standard,16,2009
3001347,admin,standard,6,2019
3001348,teacher,standard,11,2014
3001349,teacher,none,6,2019
3001350,teacher,provisional,15,2010
3001351,teacher,standard,8,2017
3001352,teacher,standard,17,2008
3001353,teacher,standard,13,2012
3001354,teacher,standard,18,2007
3001355,teacher,standard,4,2021
3001356,teacher,standard,10,2015
3001357,teacher,standard,6,2019
3001358,teacher,standard,5,2020
3001359,counselor,standard,5,2020
3001360,teacher,standard,14,2011
3001361,teacher,standard,5,2020
3001362,counselor,standard,13,2012
3001363,teacher,standard,13,2012
3001364,teacher,standard,8,2017
3001365,teacher,standard,14,2011
3001366,teacher,standard,4,2021
3001367,teacher,standard,12,2013
3001368,teacher,provisional,5,2020
3001369,teacher,none,9,2016
3001370,teacher,standard,17,2008
3001371,teacher,provisional,14,2011
3001372,teacher,standard,14,2011
3001373,teacher,standard,6,2019
3001374,teacher,standard,17,2008
3001375,teacher,standard,1,2024
3001376,teacher,standard,1,2024
3001377,teacher,provisional,9,2016
3001378,teacher,standard,14,2011
3001379,counselor,standard,3,2022
3001380,teacher,provisional,6,2019
3001381,teacher,standard,5,2020
3001382,teacher,standard,15,2010
3001383,teacher,standard,9,2016
3001384,teacher,standard,11,2014
3001385,teacher,standard,9,2016
3001386,teacher,standard,7,2018
3001387,teacher,none,5,2020
3001388,teacher,standard,13,2012
3001389,teacher,standard,16,2009
3001390,teacher,standard,20,2005
3001391,teacher,standard,5,2020
3001392,teacher,standard,5,2020
3001393,teacher,standard,10,2015
3001394,teacher,standard,14,2011
3001395,teacher,standard,7,2018
3001396,teacher,provisional,7,2018
3001397,teacher,standard,7,2018
3001398,teacher,standard,20,2005
3001399,teacher,provisional,9,2016
3001400,teacher,standard,9,2016
3001401,teacher,standard,14,2011
3001402,teacher,standard,10,2015
3001403,teacher,standard,10,2015
3001404,admin,standard,0,2025
3001405,teacher,standard,5,2020
3001406,teacher,standard,4,2021
3001407,teacher,standard,19,2006
3001408,teacher,standard,8,2017
3001409,teacher,standard,16,2009
3001410,teacher,standard,0,2025
3001411,teacher,standard,17,2008
3001412,teacher,standard,8,2017
3001413,teacher,standard,2,2023
3001414,teacher,standard,3,2022
3001415,teacher,standard,7,2018
3001416,counselor,standard,12,2013
3001417,teacher,standard,13,2012
3001418,teacher,standard,7,2018
3001419,teacher,standard,8,2017
3001420,teacher,standard,9,2016
3001421,teacher,standard,0,2025
3001422,teacher,standard,5,2020
3001423,teacher,standard,3,2022
3001424,teacher,none,4,2021
3001425,teacher,standard,19,2006
3001426,counselor,provisional,17,2008
3001427,teacher,standard,5,2020
3001428,teacher,standard,6,2019
3001429,teacher,none,7,2018
3001430,teacher,standard,26,1999
3001431,teacher,standard,0,2025
3001432,teacher,standard,11,2014
3001433,teacher,standard,11,2014
3001434,teacher,provisional,11,2014
3001435,teacher,standard,11,2014
3001436,teacher,provisional,11,2014
3001437,teacher,standard,2,2023
3001438,admin,provisional,6,2019
3001439,teacher,standard,9,2016
3001440,teacher,provisional,2,2023
3001441,teacher,standard,4,2021
3001442,teacher,provisional,19,2006
3001443,teacher,standard,15,2010
3001444,admin,standard,8,2017
3001445,counselor,standard,22,2003
3001446,teacher,provisional,12,2013
3001447,teacher,standard,2,2023
3001448,teacher,standard,9,2016
3001449,teacher,standard,10,2015
3001450,teacher,standard,15,2010
3001451,teacher,standard,20,2005
3001452,teacher,standard,7,2018
3001453,teacher,standard,15,2010
3001454,counselor,standard,0,2025
3001455,teacher,standard,23,2002
3001456,teacher,standard,3,2022
3001457,teacher,standard,6,2019
3001458,teacher,standard,2,2023
3001459,teacher,standard,5,2020
3001460,teacher,none,15,2010
3001461,admin,standard,6,2019
3001462,teacher,none,15,2010
3001463,counselor,none,4,2021
3001464,teacher,provisional,12,2013
3001465,teacher,provisional,4,2021
3001466,teacher,standard,14,2011
3001467,teacher,standard,0,2025
3001468,teacher,provisional,19,2006
3001469,teacher,none,19,2006
3001470,teacher,standard,4,2021
3001471,teacher,standard,2,2023
3001472,teacher,standard,9,2016
3001473,teacher,standard,12,2013
3001474,teacher,standard,13,2012
3001475,teacher,provisional,12,2013
3001476,teacher,provisional,7,2018
3001477,teacher,standard,1,2024
3001478,teacher,standard,21,2004
3001479,teacher,standard,9,2016
3001480,admin,standard,14,2011
3001481,teacher,standard,14,2011
3001482,counselor,standard,2,2023
3001483,admin,standard,11,2014
3001484,teacher,standard,9,2016
3001485,teacher,standard,15,2010
3001486,counselor,standard,11,2014
3001487,counselor,standard,12,2013
3001488,teacher,standard,7,2018
3001489,teacher,standard,0,2025
3001490,teacher,standard,4,2021
3001491,teacher,standard,0,2025
3001492,teacher,standard,14,2011
3001493,counselor,standard,8,2017
3001494,teacher,standard,2,2023
3001495,teacher,standard,12,2013
3001496,teacher,standard,7,2018
3001497,teacher,provisional,6,2019
3001498,teacher,standard,7,2018
3001499,teacher,standard,11,2014
3001500,counselor,standard,9,2016
3001501,teacher,standard,9,2016
3001502,counselor,standard,10,2015
3001503,counselor,standard,0,2025
3001504,teacher,standard,11,2014
3001505,teacher,provisional,10,2015
3001506,teacher,standard,6,2019
3001507,teacher,standard,11,2014
3001508,teacher,standard,1,2024
3001509,counselor,standard,5,2020
3001510,admin,standard,9,2016
3001511,teacher,standard,14,2011
3001512,teacher,none,13,2012
3001513,teacher,standard,21,2004
3001514,teacher,provisional,4,2021
3001515,teacher,standard,6,2019
3001516,counselor,standard,8,2017
3001517,teacher,standard,7,2018
3001518,teacher,standard,4,2021
3001519,teacher,standard,0,2025
3001520,teacher,standard,7,2018
3001521,teacher,standard,19,2006
3001522,teacher,standard,10,2015
3001523,teacher,standard,10,2015
3001524,teacher,standard,13,2012
3001525,counselor,standard,0,2025
3001526,teacher,standard,5,2020
3001527,counselor,standard,0,2025
3001528,teacher,standard,15,2010
3001529,teacher,standard,6,2019
3001530,teacher,standard,9,2016
3001531,teacher,standard,10,2015
3001532,teacher,standard,2,2023
3001533,teacher,standard,17,2008
3001534,teacher,standard,7,2018
3001535,teacher,none,6,2019
3001536,counselor,standard,0,2025
3001537,teacher,standard,14,2011
3001538,teacher,standard,0,2025
3001539,teacher,standard,9,2016
3001540,teacher,standard,8,2017
3001541,counselor,standard,4,2021
3001542,teacher,standard,0,2025
3001543,teacher,standard,16,2009
3001544,counselor,standard,8,2017
3001545,teacher,standard,5,2020
3001546,admin,standard,0,2025
3001547,teacher,standard,6,2019
3001548,teacher,standard,6,2019
3001549,admin,standard,11,2014
3001550,teacher,standard,9,2016
3001551,teacher,standard,8,2017
3001552,teacher,standard,9,2016
3001553,teacher,standard,13,2012
3001554,teacher,standard,12,2013
3001555,counselor,standard,8,2017
3001556,teacher,standard,9,2016
3001557,teacher,standard,5,2020
3001558,counselor,standard,6,2019
3001559,teacher,standard,0,2025
3001560,counselor,standard,11,2014
3001561,teacher,standard,11,2014
3001562,teacher,standard,6,2019
3001563,teacher,standard,7,2018
3001564,teacher,standard,4,2021
3001565,counselor,standard,13,2012
3001566,counselor,standard,21,2004
3001567,counselor,standard,2,2023
3001568,teacher,standard,7,2018
3001569,teacher,provisional,10,2015
3001570,teacher,standard,3,2022
3001571,teacher,standard,9,2016
3001572,admin,standard,6,2019
3001573,teacher,provisional,0,2025
3001574,teacher,standard,17,2008
3001575,teacher,standard,18,2007
3001576,teacher,standard,16,2009
3001577,teacher,standard,9,2016
3001578,teacher,standard,7,2018
3001579,counselor,standard,4,2021
3001580,teacher,standard,5,2020
3001581,counselor,standard,7,2018
3001582,teacher,standard,5,2020
3001583,teacher,standard,10,2015
3001584,teacher,standard,13,2012
3001585,teacher,standard,20,2005
3001586,counselor,standard,11,2014
3001587,counselor,standard,0,2025
3001588,teacher,standard,27,1998
3001589,teacher,standard,9,2016
3001590,teacher,provisional,3,2022
3001591,teacher,standard,4,2021
3001592,teacher,standard,14,2011
3001593,teacher,standard,4,2021
3001594,teacher,standard,7,2018
3001595,teacher,standard,11,2014
3001596,teacher,standard,4,2021
3001597,teacher,standard,11,2014
3001598,admin,standard,14,2011
3001599,teacher,standard,12,2013
3001600,teacher,standard,0,2025
3001601,teacher,provisional,16,2009
3001602,counselor,standard,2,2023
3001603,teacher,standard,3,2022
3001604,teacher,standard,4,2021
3001605,admin,standard,8,2017
3001606,teacher,standard,16,2009
3001607,teacher,standard,0,2025
3001608,counselor,standard,11,2014
3001609,teacher,standard,0,2025
3001610,teacher,standard,18,2007
3001611,counselor,standard,4,2021
3001612,counselor,standard,8,2017
3001613,teacher,standard,4,2021
3001614,teacher,standard,9,2016
3001615,teacher,standard,2,2023
3001616,teacher,standard,13,2012
3001617,teacher,standard,12,2013
3001618,teacher,standard,11,2014
3001619,counselor,none,18,2007
3001620,teacher,standard,3,2022
3001621,teacher,provisional,7,2018
3001622,teacher,standard,13,2012
3001623,teacher,standard,5,2020
3001624,counselor,standard,12,2013
3001625,teacher,standard,2,2023
3001626,teacher,standard,1,2024
3001627,teacher,standard,19,2006
3001628,teacher,standard,5,2020
3001629,teacher,standard,11,2014
3001630,admin,none,8,2017
3001631,teacher,standard,4,2021
3001632,teacher,standard,9,2016
3001633,teacher,standard,7,2018
3001634,teacher,standard,8,2017
3001635,teacher,standard,10,2015
3001636,teacher,standard,14,2011
3001637,teacher,standard,3,2022
3001638,admin,standard,6,2019
3001639,teacher,standard,11,2014
3001640,admin,standard,1,2024
3001641,teacher,standard,4,2021
3001642,teacher,standard,16,2009
3001643,teacher,standard,6,2019
3001644,counselor,standard,4,2021
3001645,teacher,standard,8,2017
3001646,teacher,standard,11,2014
3001647,teacher,provisional,10,2015
3001648,teacher,standard,9,2016
3001649,teacher,standard,19,2006
3001650,teacher,standard,7,2018
3001651,teacher,standard,0,2025
3001652,teacher,standard,11,2014
3001653,teacher,standard,18,2007
3001654,teacher,standard,3,2022
3001655,teacher,none,16,2009
3001656,teacher,standard,11,2014
3001657,teacher,standard,17,2008
3001658,teacher,standard,0,2025
3001659,teacher,standard,0,2025
3001660,teacher,provisional,17,2008
3001661,teacher,standard,0,2025
3001662,teacher,provisional,0,2025
3001663,admin,standard,5,2020
3001664,teacher,standard,5,2020
3001665,teacher,standard,13,2012
3001666,teacher,standard,0,2025
3001667,teacher,standard,10,2015
3001668,teacher,standard,8,2017
3001669,teacher,standard,14,2011
3001670,teacher,standard,3,2022
3001671,teacher,provisional,11,2014
3001672,teacher,standard,18,2007
3001673,teacher,provisional,2,2023
3001674,counselor,standard,10,2015
3001675,teacher,standard,9,2016
3001676,teacher,standard,9,2016
3001677,teacher,provisional,16,2009
3001678,teacher,standard,11,2014
3001679,teacher,standard,6,2019
3001680,teacher,standard,9,2016
3001681,admin,standard,13,2012
3001682,teacher,none,19,2006
3001683,teacher,standard,13,2012
3001684,teacher,standard,6,2019
3001685,counselor,standard,13,2012
3001686,counselor,standard,7,2018
3001687,teacher,standard,13,2012
3001688,admin,standard,13,2012
3001689,teacher,standard,18,2007
3001690,teacher,provisional,9,2016
3001691,admin,provisional,6,2019
3001692,admin,standard,11,2014
3001693,teacher,standard,19,2006
3001694,teacher,standard,8,2017
3001695,teacher,standard,12,2013
3001696,teacher,standard,14,2011
3001697,teacher,standard,17,2008
3001698,teacher,provisional,13,2012
3001699,teacher,standard,3,2022
3001700,counselor,standard,0,2025
3001701,teacher,standard,7,2018
3001702,teacher,none,12,2013
3001703,teacher,standard,6,2019
3001704,counselor,provisional,12,2013
3001705,teacher,standard,11,2014
3001706,teacher,provisional,7,2018
3001707,teacher,provisional,1,2024
3001708,teacher,standard,6,2019
3001709,teacher,provisional,8,2017
3001710,teacher,standard,12,2013
3001711,counselor,standard,15,2010
3001712,teacher,standard,16,2009
3001713,teacher,provisional,0,2025
3001714,teacher,provisional,11,2014
3001715,teacher,standard,11,2014
3001716,teacher,standard,11,2014
3001717,teacher,standard,10,2015
3001718,teacher,standard,10,2015
3001719,teacher,provisional,2,2023
3001720,teacher,standard,6,2019
3001721,teacher,standard,10,2015
3001722,teacher,standard,8,2017
3001723,teacher,standard,13,2012
3001724,teacher,standard,5,2020
3001725,teacher,provisional,0,2025
3001726,teacher,standard,0,2025
3001727,counselor,standard,1,2024
3001728,teacher,standard,15,2010
3001729,teacher,provisional,3,2022
3001730,teacher,standard,18,2007
3001731,teacher,standard,11,2014
3001732,teacher,none,7,2018
3001733,teacher,standard,0,2025
3001734,teacher,standard,8,2017
3001735,teacher,standard,0,2025
3001736,teacher,standard,8,2017
3001737,teacher,standard,8,2017
3001738,teacher,standard,7,2018
3001739,teacher,standard,2,2023
3001740,teacher,standard,14,2011
3001741,teacher,standard,8,2017
3001742,teacher,none,20,2005
